2026-04-22 21:25:30 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:54:42 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:54:42 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:54:42 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:54:47 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:54:47 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:54:47 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:55:00 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:55:00 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:55:00 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:55:16 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:55:16 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:55:16 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:55:31 | INFO     | smart_task_api.main | Line 15 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:55:31 | INFO     | smart_task_api.main | Line 16 | 📦 Database connected
2026-04-22 21:55:31 | INFO     | smart_task_api.main | Line 17 | ✅ All routers registered
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 1
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 2
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 3
2026-04-22 21:55:39 | INFO     | smart_task_api.task_service | Line 73 | Updating task 3 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 90 | Task 3 updated successfully
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 4
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 73 | Updating task 4 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 73 | Updating task 99999 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 5
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 109 | Marking task 5 complete for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 122 | Task 5 marked complete
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 6
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 109 | Marking task 6 complete for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 109 | Marking task 99999 complete for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 7
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 95 | Deleting task 7 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 104 | Task 7 deleted successfully
2026-04-22 21:55:40 | DEBUG    | smart_task_api.task_service | Line 63 | Fetching task 7 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 95 | Deleting task 99999 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 7
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 888
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 8
2026-04-22 21:55:40 | DEBUG    | smart_task_api.task_service | Line 37 | Fetching tasks for user 999, page 1
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 9
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 10
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 11
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 12
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 13
2026-04-22 21:55:40 | DEBUG    | smart_task_api.task_service | Line 37 | Fetching tasks for user 999, page 1
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 14
2026-04-22 21:55:40 | DEBUG    | smart_task_api.task_service | Line 63 | Fetching task 14 for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-04-22 21:55:40 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 15
2026-04-22 21:55:40 | DEBUG    | smart_task_api.task_service | Line 63 | Fetching task 15 for user 888
2026-04-22 21:59:31 | INFO     | smart_task_api.main | Line 15 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:59:31 | INFO     | smart_task_api.main | Line 16 | 📦 Database connected
2026-04-22 21:59:31 | INFO     | smart_task_api.main | Line 17 | ✅ All routers registered
2026-04-22 22:03:13 | INFO     | smart_task_api.main | Line 15 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 22:03:13 | INFO     | smart_task_api.main | Line 16 | 📦 Database connected
2026-04-22 22:03:13 | INFO     | smart_task_api.main | Line 17 | ✅ All routers registered
2026-05-07 06:56:18 | INFO     | smart_task_api.storage | Line 106 | Using LocalStorage (S3 not configured or not in production)
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 1
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 2
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 3
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 73 | Updating task 3 for user 999
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 90 | Task 3 updated successfully
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 4
2026-05-07 06:56:23 | INFO     | smart_task_api.task_service | Line 73 | Updating task 4 for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 73 | Updating task 99999 for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 5
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 109 | Marking task 5 complete for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 122 | Task 5 marked complete
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 6
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 109 | Marking task 6 complete for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 109 | Marking task 99999 complete for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 7
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 95 | Deleting task 7 for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 104 | Task 7 deleted successfully
2026-05-07 06:56:24 | DEBUG    | smart_task_api.task_service | Line 63 | Fetching task 7 for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 95 | Deleting task 99999 for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 7
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 888
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 8
2026-05-07 06:56:24 | DEBUG    | smart_task_api.task_service | Line 37 | Fetching tasks for user 999, page 1
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 9
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 10
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 11
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 12
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 13
2026-05-07 06:56:24 | DEBUG    | smart_task_api.task_service | Line 37 | Fetching tasks for user 999, page 1
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 14
2026-05-07 06:56:24 | DEBUG    | smart_task_api.task_service | Line 63 | Fetching task 14 for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 999
2026-05-07 06:56:24 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 15
2026-05-07 06:56:24 | DEBUG    | smart_task_api.task_service | Line 63 | Fetching task 15 for user 888
2026-05-08 08:45:13 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 08:45:13 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 08:45:13 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 08:53:55 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 08:53:55 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 08:53:55 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 08:58:14 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 08:58:14 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 08:58:14 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 08:58:43 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 08:58:43 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 08:58:43 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 08:59:26 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 08:59:26 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 08:59:26 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 09:00:32 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 09:00:32 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 09:00:32 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 09:01:22 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 09:01:22 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 09:01:22 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 09:07:33 | INFO     | smart_task_api.user_routes | Line 14 | Signup attempt for email: test24@example.com
2026-05-08 09:07:33 | INFO     | smart_task_api.users_service | Line 11 | Creating user with email: test24@example.com
2026-05-08 09:07:34 | INFO     | smart_task_api.users_service | Line 34 | User created successfully with ID: 1
2026-05-08 09:09:00 | INFO     | smart_task_api.user_routes | Line 20 | Login attempt for email: test24@example.com
2026-05-08 09:09:00 | INFO     | smart_task_api.users_service | Line 38 | Login attempt for email: test24@example.com
2026-05-08 09:09:01 | INFO     | smart_task_api.users_service | Line 50 | User test24@example.com logged in successfully
2026-05-08 09:09:06 | INFO     | smart_task_api.tasks_route | Line 53 | Fetching paginated tasks for user: test24@example.com
2026-05-08 09:09:36 | INFO     | smart_task_api.tasks_route | Line 37 | Fetching tasks for user: test24@example.com
2026-05-08 09:09:36 | DEBUG    | smart_task_api.task_service | Line 37 | Fetching tasks for user 1, page 1
2026-05-08 09:12:58 | INFO     | smart_task_api.main | Line 17 | ?? ========== SMART TASK API STARTING ========== ??
2026-05-08 09:12:58 | INFO     | smart_task_api.main | Line 18 | ?? Database connected
2026-05-08 09:12:58 | INFO     | smart_task_api.main | Line 19 | ? All routers registered
2026-05-08 09:13:12 | INFO     | smart_task_api.tasks_route | Line 53 | Fetching paginated tasks for user: test24@example.com
2026-05-08 09:13:52 | INFO     | smart_task_api.tasks_route | Line 25 | Creating task for user: test24@example.com
2026-05-08 09:13:52 | INFO     | smart_task_api.task_service | Line 13 | Creating task for user 1
2026-05-08 09:13:52 | INFO     | smart_task_api.task_service | Line 31 | Task created with ID: 1
2026-05-08 09:13:52 | INFO     | smart_task_api.tasks_route | Line 53 | Fetching paginated tasks for user: test24@example.com
